app_id,category_short,category_long
com.traplight.battleslides,Simulation,/store/apps/category/GAME_SIMULATION
com.devplank.masterplaca,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
org.drivingprep.cdl,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
de.appomotive.bimmercode,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
com.iViNi.VWhatFull,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
ro.carzz,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
com.johnboysoftware.jbv1,Auto & Vehicles,/store/apps/category/AUTO_AND_VEHICLES
com.samsung.knox.securefolder,Business,/store/apps/category/BUSINESS
com.lacoon.security.fox,Business,/store/apps/category/BUSINESS
com.zoho.creator.a,Business,/store/apps/category/BUSINESS
com.andrdevelopers.world_currency_convertor,Business,/store/apps/category/BUSINESS
com.bookkeeper,Business,/store/apps/category/BUSINESS
sABN.UI.SmartABNAndroid,Business,/store/apps/category/BUSINESS
com.nightowl.connect,Business,/store/apps/category/BUSINESS
com.era.calcbill,Business,/store/apps/category/BUSINESS
com.danfoss.koolcode2,Business,/store/apps/category/BUSINESS
jp.sugarcorp.sugar,Entertainment,/store/apps/category/ENTERTAINMENT
lu.immotop.android,House & Home,/store/apps/category/HOUSE_AND_HOME
com.code.bluegeny.myhomeview,House & Home,/store/apps/category/HOUSE_AND_HOME
com.pepper.momentum,House & Home,/store/apps/category/HOUSE_AND_HOME
com.lockly.smartlock,House & Home,/store/apps/category/HOUSE_AND_HOME
com.thanksmister.iot.mqtt.alarmpanel,House & Home,/store/apps/category/HOUSE_AND_HOME
com.neosmartblinds.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.keyboardcrumbs.haclient,House & Home,/store/apps/category/HOUSE_AND_HOME
com.allegion.leopard,House & Home,/store/apps/category/HOUSE_AND_HOME
es.cecotec.s5090,House & Home,/store/apps/category/HOUSE_AND_HOME
com.quby.apps.hybrid,House & Home,/store/apps/category/HOUSE_AND_HOME
com.nightowlsp.nop,House & Home,/store/apps/category/HOUSE_AND_HOME
com.hunter.hunterWifiConnectAndroid,House & Home,/store/apps/category/HOUSE_AND_HOME
sesam.technology.bold,House & Home,/store/apps/category/HOUSE_AND_HOME
co.abetterhome.lighter,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ensto.heatcontrol,House & Home,/store/apps/category/HOUSE_AND_HOME
com.altec.shsm,House & Home,/store/apps/category/HOUSE_AND_HOME
com.hero.iot,House & Home,/store/apps/category/HOUSE_AND_HOME
com.plejd.plejdapp,House & Home,/store/apps/category/HOUSE_AND_HOME
sputnik.axmor.com,House & Home,/store/apps/category/HOUSE_AND_HOME
com.easysmarthome.cloudmaticapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.bwt.athomeapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.imsmart.devices,House & Home,/store/apps/category/HOUSE_AND_HOME
com.lumilifev2,House & Home,/store/apps/category/HOUSE_AND_HOME
com.hiper.smartiot,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ooma.hm,House & Home,/store/apps/category/HOUSE_AND_HOME
com.elvox.videodoorip,House & Home,/store/apps/category/HOUSE_AND_HOME
com.klevio.klevio,House & Home,/store/apps/category/HOUSE_AND_HOME
com.lumiunited.aqarahome,House & Home,/store/apps/category/HOUSE_AND_HOME
com.home.shelly,House & Home,/store/apps/category/HOUSE_AND_HOME
com.pro1.thermostat,House & Home,/store/apps/category/HOUSE_AND_HOME
app.homehabit.view,House & Home,/store/apps/category/HOUSE_AND_HOME
com.daikincomfort.daikinonehome,House & Home,/store/apps/category/HOUSE_AND_HOME
com.myeglu.android,House & Home,/store/apps/category/HOUSE_AND_HOME
com.thanksmister.iot.wallpanel,House & Home,/store/apps/category/HOUSE_AND_HOME
com.wuuklabs.android.store,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ismartgate.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.orvibo.homemate,House & Home,/store/apps/category/HOUSE_AND_HOME
com.yosmart.yolink,House & Home,/store/apps/category/HOUSE_AND_HOME
com.thhkstudio.hassdash,House & Home,/store/apps/category/HOUSE_AND_HOME
com.epicamera.vms.i_neighbour,House & Home,/store/apps/category/HOUSE_AND_HOME
com.logitech.circle,House & Home,/store/apps/category/HOUSE_AND_HOME
com.digma.smart,House & Home,/store/apps/category/HOUSE_AND_HOME
com.hyyp247.home,House & Home,/store/apps/category/HOUSE_AND_HOME
com.smartfrog.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.nedis.smartlife,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ring.answer,House & Home,/store/apps/category/HOUSE_AND_HOME
com.connect.smarthome,House & Home,/store/apps/category/HOUSE_AND_HOME
io.olibra.bondapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.philips.hueswitcher.quickstart,House & Home,/store/apps/category/HOUSE_AND_HOME
com.bdrthermea.roomunitapplication.baxi,House & Home,/store/apps/category/HOUSE_AND_HOME
com.fibaro.homecenter,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kelement.smart,House & Home,/store/apps/category/HOUSE_AND_HOME
eu.hoermann.ast.bluesecur,House & Home,/store/apps/category/HOUSE_AND_HOME
app.homey,House & Home,/store/apps/category/HOUSE_AND_HOME
com.stickmanmobile.engineroom.heatmiserneo,House & Home,/store/apps/category/HOUSE_AND_HOME
uk.co.neos.retail.android,House & Home,/store/apps/category/HOUSE_AND_HOME
global.nature.remo,House & Home,/store/apps/category/HOUSE_AND_HOME
com.kogan.smarterhome,House & Home,/store/apps/category/HOUSE_AND_HOME
cz.o2.smartbox,House & Home,/store/apps/category/HOUSE_AND_HOME
io.homeassistant.companion.android,House & Home,/store/apps/category/HOUSE_AND_HOME
tr.com.isipark.ht400e.android,House & Home,/store/apps/category/HOUSE_AND_HOME
de.ebertp.HomeDroid,House & Home,/store/apps/category/HOUSE_AND_HOME
com.mirabella.genio,House & Home,/store/apps/category/HOUSE_AND_HOME
com.desygner.menus,Food & Drink,/store/apps/category/FOOD_AND_DRINK
kz.chocofood.chocofoodapp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.sodexo.mysodexo,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.warden.cam,House & Home,/store/apps/category/HOUSE_AND_HOME
com.urbanclap.urbanclap,House & Home,/store/apps/category/HOUSE_AND_HOME
com.app.makano,Food & Drink,/store/apps/category/FOOD_AND_DRINK
de.pizza,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.nextwo.the_chefz,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.eatkareem.eatmubarak,Food & Drink,/store/apps/category/FOOD_AND_DRINK
co.za.nandos.nandosapp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
tw.co.akindo_sushiro.sushiroapp,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.sms.hotdog.maker.games,Food & Drink,/store/apps/category/FOOD_AND_DRINK
mk.restaurant,Food & Drink,/store/apps/category/FOOD_AND_DRINK
de.lieferservice.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.dennys.mobile,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.minor.pizzacompany,Food & Drink,/store/apps/category/FOOD_AND_DRINK
it.delonghi,Food & Drink,/store/apps/category/FOOD_AND_DRINK
in.emego.www.emego,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.loyaltyplant.partner.sevenleavescafe,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ru.sbcs.prodom,House & Home,/store/apps/category/HOUSE_AND_HOME
jamhome.ru.lktsj,House & Home,/store/apps/category/HOUSE_AND_HOME
com.inpin,House & Home,/store/apps/category/HOUSE_AND_HOME
ru.pik.mobile,House & Home,/store/apps/category/HOUSE_AND_HOME
hk.com.squarefoot.app,House & Home,/store/apps/category/HOUSE_AND_HOME
